city,title,gender,rating,district,facilities,original_price,discount_price,full_card_text
Tangerang,Kost Mandar IV Bintaro Tipe A,Putri,4.9,Pondok Aren,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp2.025.000,Rp1.865.000,Putri | 4.9 | Sisa 2 kamar | Kost Mandar IV Bintaro Tipe A | Pondok Aren | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 160rb | Rp2.025.000 | Rp1.865.000 | (Bulan pertama)
Tangerang,Kost Kamila BSD Tipe A,Putri,4.8,Pagedangan,WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.825.000,Rp1.753.000,Putri | 4.8 | Sisa 2 kamar | Kost Kamila BSD Tipe A | Pagedangan | WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 72rb | Rp1.825.000 | Rp1.753.000 | (Bulan pertama)
Tangerang,Kost Soldier Xosan Tipe A,Campur,4.4,Cipondoh,WiFi·AC·Kloset Duduk·Kasur,Rp1.330.000,Rp1.225.600,Campur | 4.4 | Sisa 2 kamar | Kost Soldier Xosan Tipe A | Cipondoh | WiFi·AC·Kloset Duduk·Kasur | Diskon 104rb | Rp1.330.000 | Rp1.225.600 | (Bulan pertama)
Tangerang,Kost Paulus Bintaro Tipe A,Putri,4.6,Pesanggrahan,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,Rp2.025.000,Rp1.863.000,Putri | 4.6 | Kost Paulus Bintaro Tipe A | Pesanggrahan | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur | Diskon 162rb | Rp2.025.000 | Rp1.863.000 | (Bulan pertama)
Tangerang,Kost Mantai Tipe A,Campur,4.8,Kebon Jeruk,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp2.225.000,Rp2.137.000,Campur | 4.8 | Sisa 2 kamar | Kost Mantai Tipe A | Kebon Jeruk | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 88rb | Rp2.225.000 | Rp2.137.000 | (Bulan pertama)
Tangerang,Kost Nayla Tipe A,Campur,4.8,Cilandak,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,Rp2.410.000,Rp2.314.600,Campur | 4.8 | Sisa 2 kamar | Kost Nayla Tipe A | Cilandak | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur | Diskon 95rb | Rp2.410.000 | Rp2.314.600 | (Bulan pertama)
Tangerang,Kost Cendrawasih I Tipe A,Campur,4.6,Cilandak,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,,Rp2.575.000,Campur | 4.6 | Sisa 1 kamar | Kost Cendrawasih I Tipe A | Cilandak | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Rp2.575.000 | /bulan
Tangerang,Kost Media Residence Tipe A,Campur,4.8,Kebayoran Lama,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,Rp2.525.000,Rp2.425.000,Campur | 4.8 | Sisa 2 kamar | Kost Media Residence Tipe A | Kebayoran Lama | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur | Diskon 100rb | Rp2.525.000 | Rp2.425.000 | (Bulan pertama)
Tangerang,Kost Permata Medang Harmoni Tipe C Gading Serpong,Campur,4.8,Pagedangan,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.475.000,Rp1.417.000,Campur | 4.8 | Sisa 2 kamar | Kost Permata Medang Harmoni Tipe C Gading Serpong | Pagedangan | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 58rb | Rp1.475.000 | Rp1.417.000 | (Bulan pertama)
Tangerang,Kost Rose Residence Tipe B,Campur,4.8,Tangerang,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp2.425.000,Rp2.329.000,Campur | 4.8 | Sisa 2 kamar | Kost Rose Residence Tipe B | Tangerang | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 96rb | Rp2.425.000 | Rp2.329.000 | (Bulan pertama)
Tangerang,Kost STAN Bintaro Andalusia Tipe C,Putra,4.6,Pondok Aren,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur,Rp1.125.000,Rp1.081.000,Putra | 4.6 | Sisa 1 kamar | Kost STAN Bintaro Andalusia Tipe C | Pondok Aren | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur | Diskon 44rb | Rp1.125.000 | Rp1.081.000 | (Bulan pertama)
Tangerang,Kost Djowo Tipe A,Campur,4.6,Kembangan,K. Mandi Dalam·WiFi·AC·Kasur,Rp1.725.000,Rp1.657.000,Campur | 4.6 | Sisa 2 kamar | Kost Djowo Tipe A | Kembangan | K. Mandi Dalam·WiFi·AC·Kasur | Diskon 68rb | Rp1.725.000 | Rp1.657.000 | (Bulan pertama)
Tangerang,Kost Dbugs Tipe A,Campur,4.9,Ciputat Timur,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp2.000.000,Rp1.920.000,Campur | 4.9 | Kost Dbugs Tipe A | Ciputat Timur | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 80rb | Rp2.000.000 | Rp1.920.000 | (Bulan pertama)
Tangerang,Kost Secondhome Tipe A Lippo Karawaci,Campur,4.9,Kelapa Dua,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.775.000,Rp1.617.500,Campur | 4.9 | Kost Secondhome Tipe A Lippo Karawaci | Kelapa Dua | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 158rb | Rp1.775.000 | Rp1.617.500 | (Bulan pertama)
Tangerang,Kost Maranzi House Tipe A Barat,Campur,4.8,Kebon Jeruk,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp2.475.000,Rp2.377.000,Campur | 4.8 | Sisa 2 kamar | Kost Maranzi House Tipe A Barat | Kebon Jeruk | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 98rb | Rp2.475.000 | Rp2.377.000 | (Bulan pertama)
